Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
1428 Haight Patio Cafe,American,Upper Haight (S.F.),Takeout,No,1428 Haight St.,San Francisco,N/A,San Francisco,8 a.m-10 p.m. daily,415-864-8484,www.1428haight.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
1601 Bar & Kitchen,Sri Lankan,SoMa (S.F),Takeout,Yes,1601 Howard St.,San Francisco,N/A,San Francisco,11 a.m.-7 p.m. daily,415-552-1601,www.1601sf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
310 Eatery,"American, Pan-Asian",Albany,Delivery & Takeout,Yes,747 San Pablo Ave.,Albany,N/A,East Bay,5-8 p.m. Monday; 11:30 a.m.-8 p.m. Tuesday-Friday; 11 a.m.-8 p.m Saturday and Sunday,510-597-6878,N/A,Call to place order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
31st Union,American,San Mateo,Takeout,No,25 South Ellsworth,San Mateo,N/A,Peninsula,11 a.m.-8 p.m. Monday-Sunday,650-458-0049,www.eatreadymade.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
4505 Burgers & BBQ,"BBQ, American",Laurel (Oak),Delivery & Takeout,No,3506 MacArthur Blvd.,Oakland,N/A,East Bay,Lunch and dinner daily,510-210-8235,www.4505burgersandbbq.com/Order-Online/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
4505 Burgers & BBQ,"BBQ, American",NoPa (S.F.),Delivery & Takeout,No,705 Divisadero St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-231-6993,www.4505burgersandbbq.com/Order-Online/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
54 Mint,Italian,SoMa (S.F.),Delivery & Takeout,No,16 Mint Plaza,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-543-5100,www.54mint.com/sanfrancisco,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
54 Mint,Italian,Walnut Creek,Delivery & Takeout,No,1686 Locust St.,Walnut Creek,N/A,East Bay,5-8 p.m. daily,925-476-5844,www.54mintforno.com/walnutcreek,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
7 Mission Restaurant,"Chinese, Vietnamese",SoMa (S.F.),Delivery & Takeout,No,151 7th St.,San Francisco,N/A,San Francisco,"10 a.m.-3 p.m., 4-9 p.m. Monday-Saturday",415-861-3298,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
A Mano,Italian,Hayes Valley (S.F.),Takeout,No,450 Hayes St.,San Francisco,N/A,San Francisco,Noon-8 p.m.,415-506-7401,www.amanosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
A Slice of New York,Pizza,Sunnyvale,Takeout,No,1253 W El Camino Real,Sunnyvale,N/A,South Bay,11 a.m.-9 p.m. Tuesday-Thursday; 11 a.m.-10 p.m. Friday and Saturday; 12:30-7:30 p.m. Sunday,650-938-6969,www.asliceofny.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
A16,"Italian, Pizza",Marina (S.F.),Delivery & Takeout,Yes,2355 Chestnut St.,San Francisco,N/A,San Francisco,4-7 p.m. Tuesday-Saturday,415-771-2216,www.a16pizza.com,Ordering is online only and cashless.,https://projects.sfchronicle.com/2020/restaurant-delivery/
AA Bakery & Cafe,Bakery,Chinatown (S.F.),Takeout,No,1068 Stockton St.,San Francisco,N/A,San Francisco,6 a.m.-7:30 p.m. daily,415-984-1465,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Abrazo,"Spanish, Tapas",Russian Hill (S.F.),Takeout,No,2000 Hyde St.,San Francisco,N/A,San Francisco,5:30-8:30 p.m. daily,415-872-9239,www.abrazosf.com/,Call to order,https://projects.sfchronicle.com/2020/restaurant-delivery/
Aburaya,"Japanese, Fried Chicken",Oakland,Delivery & Takeout,No,362 17th St.,Oakland,N/A,East Bay,"11 a.m.-2 p.m., 5-10 p.m. Monday-Saturday",510-502-7743,www.aburayaoakland.com/#about,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Academy Bar and Kitchen,Pizza,Lower Pacific Heights (S.F.),Delivery & Takeout,No,1800 Fillmore St.,San Francisco,N/A,San Francisco,5-10 p.m. daily,415-775-1800,www.academykitchensf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Acai R,American,Westwood Park (S.F.),Delivery & Takeout,Yes,1130 Ocean Ave.,San Francisco,N/A,San Francisco,9 a.m.-8 p.m. daily,415-347-7707,www.theacair.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ace Wasabi,Japanese,Marina (S.F.),Takeout,No,3339 Steiner St.,San Francisco,N/A,San Francisco,Dinner nightly,415-567-4903,www.acewasabisf.com,$25 sushi box with soup and salad. Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Acme Bread at The San Francisco Ferry Building,Bakery,Embarcadero (S.F.),Takeout,No,1 Ferry Building,San Francisco,N/A,San Francisco,7 a.m.-7:30 p.m. Monday-Friday; 8 a.m.-7 p.m. Saturday and Sunday,415-288-2978,N/A,Acme Bread’s retail locations in Berkeley and San Francisco remain open for business. Acme Bread is also delivering bread to wholesale customers with existing accounts.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Acquolina,Italian,North Beach (S.F.),Delivery & Takeout,No,1600 Stockton St.,San Francisco,N/A,San Francisco,Noon-9 p.m. daily,415-781-0331,www.acquolina.us/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Agave Uptown,Mexican,Uptown (Oak),Delivery & Takeout,No,2135 Franklin St.,Oakland,N/A,East Bay,3-8 p.m. daily,707-570-9369,www.agaveuptown.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Agrodocle Osteria,Italian,Berkeley,Takeout,No,1730 Shattuck Ave.,Berkeley,N/A,East Bay,5-10 p.m. Wednesday-Monday,510-848-8748,www.visitberkeley.com/directory/agrodolce-osteria/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Akemi,Japanese,Berkeley,Takeout,No,1695 Solano Ave.,Berkeley,N/A,East Bay,5-9 p.m. daily,510-524-1286,www.akemiberkeley.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Al Fin Restaurant,Latin American,Daly City,Takeout,No,7398 Mission St.,Daly City,N/A,Peninsula,11 a.m.-7 p.m. Wednesday-Monday,650-994-6142,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
alaMar Kitchen & Bar,Seafood,Oakland,Delivery & Takeout,Yes,100 Grand Ave.,Oakland,N/A,East Bay,Noon-8 p.m. Tuesday-Saturday,646-345-9991,www.alamaroakland.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alameda Grill,"American, Hamburger",Alameda,Takeout,No,1520 Park St.,Alameda,N/A,East Bay,11 a.m.-3 p.m. Monday-Saturday,925-324-8772,www.alamedagrill.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alamo Palace Restaurant,Chinese,Alamo,Delivery & Takeout,No,"120 Alamo Plaza, #C",Alamo,N/A,East Bay,11 a.m.-3 p.m. 4-9 p.m. Wednesday-Thursday; 11 a.m.-3 p.m. 4-9:30 p.m. Friday; 11 a.m.-3 p.m. 4-9:30 p.m. Saturday; 4-9:30 p.m. Sunday,925-820-1715,www.alamopalaceca.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Albatross,American,Danville,Delivery & Takeout,No,312 Railroad Ave.,"Danville, CA",N/A,East Bay,11 a.m.-7 p.m. daily,925-718-5445,www.albatrossdanville.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alembic,American,Haight-Ashbury (S.F.),Delivery,Yes,1725 Haight St.,San Francisco,N/A,San Francisco,5-8 p.m. Friday,415-666-0822,http://alembicathome.square.site/,Pre-order online in advance for pickup or delivery on Fridays 5-8 p.m.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alexander's Steakhouse,American,Cupertino,Delivery & Takeout,No,19379 Stevens Creek Blvd.,Cupertino,N/A,Peninsula,11:30 a.m.-8 p.m. daily,408-446-2222,www.alexanderssteakhouse.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alexander's Steakhouse,American,SoMa,Delivery & Takeout,No,448 Brannan St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-495-1111,www.alexanderssteakhouse.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Almaden Sushi,Japanese,San Jose,Takeout,No,"6471 Almaden Expy., Ste. 70",San Jose,N/A,South Bay,"11 a.m.-2 p.m., 5-9 p.m. Monday-Saturday",408-997-2024,www.almadensushi.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Almare Gelato Italiano,Gelato,Berkeley,Takeout,No,2170 Shattuck Ave.,Berkeley,N/A,East Bay,11:30 a.m.-11:30 p.m. daily,-510-649-1888,www.almaregelato.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Alpine Inn,American,Portola Valley,Takeout,Yes,3915 Alpine Rd.,Portola Valley,N/A,Peninsula,4-8 p.m. Wednesday-Sunday,650-854-4004,www.alpineinnpv.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
